iter,n,l,elapsed
0,1024,2,0.6642627499999999
1,1024,2,0.67037525
2,1024,2,0.6468200419999999
3,1024,2,0.6735434160000002
4,1024,2,0.6499863330000002
5,1024,2,0.6465579580000003
6,1024,2,0.6414996249999998
7,1024,2,0.633682834
8,1024,2,0.6691414169999996
9,1024,2,0.6367044160000006
0,1024,3,0.9916683750000006
1,1024,3,0.9648993749999999
2,1024,3,0.9589392090000004
3,1024,3,0.9897562499999992
4,1024,3,1.059911915999999
5,1024,3,0.9581359169999999
6,1024,3,0.9644269590000007
7,1024,3,0.9956459999999989
8,1024,3,0.9644820420000002
9,1024,3,1.0010328330000018
0,1024,4,1.2708080419999987
1,1024,4,1.279089166000002
2,1024,4,1.3848554580000005
3,1024,4,1.3347314580000003
4,1024,4,1.2748535840000024
5,1024,4,1.3136374170000025
6,1024,4,1.2874613329999995
7,1024,4,1.3803811249999995
8,1024,4,1.3145295420000025
9,1024,4,1.302818833
0,1024,5,1.730349708000002
1,1024,5,1.6512009170000006
2,1024,5,1.635214083000001
3,1024,5,1.7120018339999987
4,1024,5,1.6421364170000032
5,1024,5,1.772204207999998
6,1024,5,1.6611862079999966
7,1024,5,1.6876793749999948
8,1024,5,1.6092226670000045
9,1024,5,1.6243769999999955
0,2048,2,2.4628863339999967
1,2048,2,2.4301747919999954
2,2048,2,2.521884582999995
3,2048,2,2.3975815420000046
4,2048,2,2.4518753329999967
5,2048,2,2.471606541
6,2048,2,2.374380125000002
7,2048,2,2.468312417
8,2048,2,2.4672564579999943
9,2048,2,2.3904406249999965
0,2048,3,3.812475875000004
1,2048,3,3.8134537920000042
2,2048,3,3.734317874999988
3,2048,3,3.8039545419999996
4,2048,3,3.6293496250000032
5,2048,3,3.675121083999997
6,2048,3,3.775459583
7,2048,3,3.644301791999993
8,2048,3,3.5364820000000066
9,2048,3,3.6967239159999963
0,2048,4,4.809197832999999
1,2048,4,4.816247625000003
2,2048,4,4.850058916999998
3,2048,4,4.858772833000003
4,2048,4,4.775509334000006
5,2048,4,4.810778916999993
6,2048,4,4.956446249999999
7,2048,4,4.832905167000007
8,2048,4,4.899988499999978
9,2048,4,4.8315491669999915
0,2048,5,6.185553375000012
1,2048,5,6.034458209000007
2,2048,5,5.959897917000006
3,2048,5,5.912596249999979
4,2048,5,5.948691999999994
5,2048,5,6.009564250000011
6,2048,5,5.990330499999999
7,2048,5,6.000149125000007
8,2048,5,6.01172629200002
9,2048,5,5.9651062920000015
0,4096,2,11.131332041999997
1,4096,2,11.019014541000018
2,4096,2,11.004374124999998
3,4096,2,11.223567000000003
4,4096,2,10.97358187499998
5,4096,2,10.927980832999992
6,4096,2,10.835414458000002
7,4096,2,10.866361124999969
8,4096,2,11.000377958000001
9,4096,2,11.114441458999977
0,4096,3,16.288874459
1,4096,3,16.25945141599999
2,4096,3,16.301097542000036
3,4096,3,16.181046917000003
4,4096,3,16.437441999999976
5,4096,3,16.302700000000016
6,4096,3,16.568473291000032
7,4096,3,16.158336333999955
8,4096,3,16.112633166999956
9,4096,3,16.41770408399998
0,4096,4,21.881427334000023
1,4096,4,22.104324125000005
2,4096,4,21.649720541999955
3,4096,4,21.804766665999978
4,4096,4,21.556483708000087
5,4096,4,21.695075332999977
6,4096,4,21.647796083000003
7,4096,4,22.24276825000004
8,4096,4,21.69118029099991
9,4096,4,22.064047958999936
0,4096,5,27.098098375000063
1,4096,5,27.45256120800002
2,4096,5,27.278613790999998
3,4096,5,27.157733000000007
4,4096,5,27.34358574999999
5,4096,5,27.275263083000027
6,4096,5,27.264366332999998
7,4096,5,27.27793362500006
8,4096,5,27.244731417000025
9,4096,5,27.282896625000035
0,8192,2,55.86573654099993
1,8192,2,54.95556495799997
2,8192,2,55.34192054099981
3,8192,2,55.16161941700011
4,8192,2,55.733197207999865
5,8192,2,55.25359354199986
6,8192,2,55.4251770410001
7,8192,2,54.668038499999966
8,8192,2,55.956496500000185
9,8192,2,56.23232108299999
0,8192,3,83.5333774589999
1,8192,3,83.01482758299994
2,8192,3,82.69093770899985
3,8192,3,82.90389274999984
4,8192,3,82.2556360829999
5,8192,3,82.82410649999997
6,8192,3,83.14835145799998
7,8192,3,83.80480737500011
8,8192,3,82.36219004199984
9,8192,3,83.35839108300024
0,8192,4,111.28139804200009
1,8192,4,110.31310529200027
2,8192,4,111.88019145899989
3,8192,4,110.86947616599991
4,8192,4,111.0128003750001
5,8192,4,109.6523965829997
6,8192,4,110.18932345800022
7,8192,4,111.81195733300001
8,8192,4,111.98586808300024
9,8192,4,109.46448741599988
0,8192,5,137.74474699999973
1,8192,5,137.4410334170002
2,8192,5,138.3128698329997
3,8192,5,138.44378812500008
4,8192,5,138.23118308299945
5,8192,5,137.5056277499998
6,8192,5,138.0881970829996
7,8192,5,138.50174716699985
8,8192,5,136.58416733299964
9,8192,5,138.45526270900064
0,16384,2,276.0351566250001
1,16384,2,274.4117612500004
2,16384,2,271.5453697920002
3,16384,2,273.4783908750005
4,16384,2,274.9379477090006
5,16384,2,274.41748816700056
6,16384,2,272.97511512500023
7,16384,2,279.015861375
8,16384,2,270.56578220900064
9,16384,2,272.9591922079999
0,16384,3,410.1342850410001
1,16384,3,410.1201385000004
2,16384,3,410.9184895409999
3,16384,3,407.8517127089999
4,16384,3,407.19393662499897
5,16384,3,409.3638608750007
6,16384,3,410.27063833399916
7,16384,3,412.199025124999
8,16384,3,408.7081233750014
9,16384,3,415.5007184160004
0,16384,4,543.3810840410006
1,16384,4,544.1301754579999
2,16384,4,546.9618792919991
3,16384,4,542.9082206670009
4,16384,4,544.3766263329999
5,16384,4,547.3516135000009
6,16384,4,547.2516617500005
7,16384,4,547.2119655830011
8,16384,4,547.3759020000016
9,16384,4,548.2973770420031
0,16384,5,678.1218958329991
1,16384,5,680.485834375002
2,16384,5,678.1993436670018
3,16384,5,686.4119739999987
4,16384,5,686.6899423340001
5,16384,5,682.0525238340015
6,16384,5,682.7692988750023
7,16384,5,679.8778794999998
8,16384,5,680.6800239999975
9,16384,5,677.2260329160017
0,32768,2,1527.4650531250008
1,32768,2,1531.7338055
2,32768,2,1530.0568247919982
3,32768,2,1540.0520485410016
4,32768,2,1540.860419665998
5,32768,2,1538.7381369579998
6,32768,2,1536.9728678750034
7,32768,2,1533.9704211670032
8,32768,2,1518.949774790999
9,32768,2,1532.9351339579953
0,32768,3,2292.9361199159976
1,32768,3,2297.927986499999
2,32768,3,2280.6086771670016
3,32768,3,2295.1687477090018
4,32768,3,2289.7194508340035
5,32768,3,2298.0345874170016
6,32768,3,2284.891826457999
7,32768,3,2292.643743583001
8,32768,3,2291.5445950840003
9,32768,3,2277.837894832999
0,32768,4,3038.990831874995
1,32768,4,3054.4551090410023
2,32768,4,3045.783488166009
3,32768,4,3048.8835538750136
4,32768,4,3062.9407442090014
5,32768,4,3075.797228709009
6,32768,4,3048.874709083
